YEAR	County	NAICS2dig	NAICSname2dig	Diesel	LPG_NGL	Net_electricity	Other	Residual_fuel_oil	Coal	Natural_gas	Coke_and_breeze
2010	Genesee	11	Agriculture, Forestry, Fishing and HuntingT	80413.40657044423	18702.073522446313	47784.3230202739	28408.16629672618	11679.718994761357	0	0	0
2010	Genesee	21	Mining, Quarrying, and Oil and Gas ExtractionT	30700.20236569449	0	45380.30764876609	22399.297329200344	8992.77335373558	37113.71550183112	158551.99292380872	0
2010	Genesee	23	ConstructionT	105877.52826165088	6348.824078177462	28338.03966145563	0	0	0	26180.00587628209	0
2010	Genesee	31	Manufacturing (Food, Beverages, Tobacco, Textiles, Apparel, Leather)	6583.509541221066	1306.329470678615	56252.94341499466	535966.0588673597	13895.571954150882	3187.557572183391	111668.06335866498	0
2010	Genesee	32	Manufacturing (Wood, Paper, Printing, Petroleum, Coal products, Chemicals, Plastic and Rubber products, Minerals)	2029.5355363132294	1110.7595272060717	30386.126126478415	11164.947117513539	525.2631825115851	186.40625814723592	580942.275926039	0
2010	Genesee	33	Manufacturing (Metals, Machinery, Electronics, Transportation, Furniture, Miscellaneous	3663.187776648618	5677.799914761536	61754.6747308319	1971.8186160793578	149.160831947905	0	64132.55428874072	0.3187474500203997
2010	Livingston	11	Agriculture, Forestry, Fishing and HuntingT	88921.99882379608	20680.951481749064	51735.91236122542	31414.051931884638	12915.557280919462	0	0	0
2010	Livingston	21	Mining, Quarrying, and Oil and Gas ExtractionT	10384.950065550049	0	5005.079803610661	5213.948422161594	2403.192171590832	2152.868165961008	6221.589691702239	0
2010	Livingston	23	ConstructionT	117072.79464386083	10042.65347925061	28829.312309988323	0	0	0	22928.639182832703	0
2010	Livingston	31	Manufacturing (Food, Beverages, Tobacco, Textiles, Apparel, Leather)	6379.577897570361	3726.8352394464014	70220.84110689559	95061.98981934586	29167.193671294735	36162.6265621273	213800.21284921616	0
2010	Livingston	32	Manufacturing (Wood, Paper, Printing, Petroleum, Coal products, Chemicals, Plastic and Rubber products, Minerals)	4924.0801970502625	842.6114560566293	26638.487277681354	18667.677766625093	834.9454297952806	92.04270046286375	91151.37297003613	1.916198262646908
